key,group,subgroup,type,subtype
nat-bio-ani-ani,Natural,Biological,AnimalIncident,AnimalIncident
nat-bio-epi-bac,Natural,Biological,Epidemic,BacterialDisease
nat-bio-epi-dis,Natural,Biological,Epidemic,InfectiousDisease
nat-bio-epi-fun,Natural,Biological,Epidemic,FungalDisease
nat-bio-epi-par,Natural,Biological,Epidemic,ParasiticDisease
nat-bio-epi-pri,Natural,Biological,Epidemic,PrionDisease
nat-bio-epi-vir,Natural,Biological,Epidemic,ViralDisease
nat-bio-inf-gra,Natural,Biological,Infestation,GrasshopperInfestation
nat-bio-inf-inf,Natural,Biological,Infestation,Infestation
nat-bio-inf-loc,Natural,Biological,Infestation,LocustInfestation
nat-bio-inf-wor,Natural,Biological,Infestation,WormsInfestation
nat-cli-dro-dro,Natural,Climatological,Drought,Drought
nat-cli-glo-glo,Natural,Climatological,GlacialLakeOutburstFlood,GlacialLakeOutburstFlood
nat-cli-wil-for,Natural,Climatological,Wildfire,ForestFire
nat-cli-wil-lan,Natural,Climatological,Wildfire,LandFire
nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire
nat-ext-imp-air,Natural,ExtraTerrestrial,Impact,Airburst
nat-ext-imp-col,Natural,ExtraTerrestrial,Impact,Collision
nat-ext-spa-ene,Natural,ExtraTerrestrial,SpaceWeather,EnergeticParticles
nat-ext-spa-geo,Natural,ExtraTerrestrial,SpaceWeather,GeomagneticStorm
nat-ext-spa-rad,Natural,ExtraTerrestrial,SpaceWeather,RadioDisturbance
nat-ext-spa-sho,Natural,ExtraTerrestrial,SpaceWeather,Shockwave
nat-geo-ear-gro,Natural,Geophysical,Earthquake,GroundMovement
nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami
nat-geo-mmd-ava,Natural,Geophysical,MassMovementDry,AvalancheDry
nat-geo-mmd-lan,Natural,Geophysical,MassMovementDry,LandslideDry
nat-geo-mmd-roc,Natural,Geophysical,MassMovementDry,RockfallDry
nat-geo-mmd-sub,Natural,Geophysical,MassMovementDry,SuddenSubsidenceDry
nat-geo-vol-ash,Natural,Geophysical,VolcanicActivity,AshFall
nat-geo-vol-lah,Natural,Geophysical,VolcanicActivity,Lahar
nat-geo-vol-lav,Natural,Geophysical,VolcanicActivity,LavaFlow
nat-geo-vol-pyr,Natural,Geophysical,VolcanicActivity,PyroclasticFlow
nat-geo-vol-vol,Natural,Geophysical,VolcanicActivity,VolcanicActivity
nat-hyd-flo-coa,Natural,Hydrological,Flood,CoastalFlood
nat-hyd-flo-fla,Natural,Hydrological,Flood,FlashFlood
nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood
nat-hyd-flo-ice,Natural,Hydrological,Flood,IceJamFlood
nat-hyd-flo-riv,Natural,Hydrological,Flood,RiverineFlood
nat-hyd-mmw-ava,Natural,Hydrological,MassMovementWet,AvalancheWet
nat-hyd-mmw-lan,Natural,Hydrological,MassMovementWet,LandslideWet
nat-hyd-mmw-mud,Natural,Hydrological,MassMovementWet,Mudslide
nat-hyd-mmw-roc,Natural,Hydrological,MassMovementWet,RockfallWet
