Name,Description,Type,Attributes,Abbreviation
current,Deprecated,boolean,sortable facetable,
date,Shortcut for date - defaults to date.created,object,,
date.changed,Date entry modified on ReliefWeb (ISO 8601),date,sortable facetable,
date.created,Date entry created on ReliefWeb (ISO 8601),date,sortable facetable,DA
description,Description of the country in Markdown format,string,searchable,
description-html,Description of the country in HTML format,string,,
featured,Flag to indicate if the country is featured on ReliefWeb home page,boolean,sortable facetable,
id,Unique id of country used by ReliefWeb,integer,sortable searchable,
iso3,ISO 3166-1 alpha-3 code,string,sortable searchable exact,
name,Country name in English,string,sortable searchable exact,
profile,defaults to profile.overview,string,searchable,
profile.overview,Profile of the country in Markdown format,string,searchable,
profile.overview-html,Profile of the country in HTML format,string,,
profile.key_content,Latest situation reports and analysis,array,,
profile.key_content.title,"""Key Content""",string,,
profile.key_content.active,Array of links for current key content for the country,array,multi,
profile.key_content.active.url,Current key content link url,string,,
profile.key_content.active.title,Current key content link title,string,,
profile.key_content.active.image,Current key content link image,string,,
profile.key_content.archive,Array of links for archive key content for the country,array,multi,
profile.key_content.archive.url,Archive key content link url,string,,
profile.key_content.archive.title,Archive key content link title,string,,
profile.key_content.archive.image,Archive key content link image,string,,
profile.appeals_response_plans,Appeals and Response Plans for this country,array,,
profile.appeals_response_plans.title,"""Appeals & Response Plans""",string,,
profile.appeals_response_plans.active,Array of links for current appeals and plans,array,multi,
profile.appeals_response_plans.active.url,Current appeal or plan url,string,,
profile.appeals_response_plans.active.title,Current appeal or plan title,string,,
profile.appeals_response_plans.active.image,Current appeal or plan image,string,,
profile.appeals_response_plans.archive,Array of links for archive appeals and plans,array,multi,
profile.appeals_response_plans.archive.url,Archive appeal or plan url,string,,
profile.appeals_response_plans.archive.title,Archive appeal or plan title,string,,
profile.appeals_response_plans.archive.image,Archive appeal or plan image,string,,
profile.useful_links,Useful links to external sites,array,,
profile.useful_links.title,"""Useful links""",string,,
profile.useful_links.active,Array of useful links,array,multi,
profile.useful_links.active.url,Useful link url,string,,
profile.useful_links.active.title,Useful link title,string,,
profile.useful_links.active.image,Useful link image,string,,
shortname,"Short name of country where applicable, for example 'Syria' for 'Syrian Arab Republic'",string,sortable searchable exact,
status,Whether country has an active situation,string,searchable facetable,
url,Canonical url,string,,
url_alias,Friendly' url of the country,string,searchable,
