Name,Description,Type,Attributes,Abbreviation
body,Main text in Markdown format,string,searchable,
body-html,Main text in HTML format,string,,
country,Shortcut for country - defaults to country.name,string,searchable facetable exact multi common,
country.id,Id for country used by ReliefWeb,integer,searchable facetable exact,C
country.iso3,ISO 3166-1 alpha-3 code,string,searchable facetable exact,
country.name,Name of country in English,string,searchable facetable exact,
country.primary,Flag to indicate this is the primary country,boolean,,
country.shortname,"Short name of country where applicable, for example 'Syria' for 'Syrian Arab Republic'",string,searchable facetable exact,
date,Shortcut for date fields - defaults to date.created,object,,
date.changed,Date entry modified on ReliefWeb (ISO 8601),date,sortable facetable,
date.created,Date entry created on ReliefWeb (ISO 8601),date,sortable facetable,DA
date.original,Date entry first published by original source (ISO 8601),date,sortable facetable,DO
disaster,Shortcut for related disaster - defaults to disaster.name,string,searchable facetable exact multi common,
disaster.id,Id for related disaster used by ReliefWeb,integer,searchable facetable,D
disaster.name,Name assigned to the disaster based on the ReliefWeb disaster naming convention,string,searchable facetable exact,
disaster.glide,Global IDEntifier number (GLIDE) of the disaster,string,searchable facetable,
disaster.type,Disaster type of the associated disaster. Note this may be different to the `disaster_type` of a report. Defaults to disaster.type.name,string,searchable facetable exact multi common,
disaster.type.code,Code for the disaster type of the associated disaster.,string,searchable facetable,
disaster.type.id,Id for the disaster type of the associated disaster.,integer,searchable facetable,
disaster.type.name,Link for values,string,searchable facetable exact,
disaster.type.primary,Whether this is the primary disaster type for the associated disaster.,boolean,,
disaster_type,Shortcut for disaster type - defaults to disaster_type.name,string,searchable facetable exact multi common,
disaster_type.id,Id for disaster type used by ReliefWeb,integer,searchable facetable,DT
disaster_type.name,Link for values,string,searchable facetable exact,
disaster_type.code,GLIDE hazard code for disaster type.,string,searchable facetable,
feature,defaults to feature.name,string,searchable facetable exact multi common,
feature.id,Id for feature used by ReliefWeb,integer,searchable facetable,
feature.name,Link for values.,string,searchable facetable exact,
file,File attachment shortcut - defaults to file.id,array,multi,
file.description,Description of file attachment,string,searchable,
file.filename,File name of file attachment,string,,
file.id,Id of file attachment used by ReliefWeb,integer,searchable,
file.mimetype,MIME type of file attachment,string,,
file.preview,Shortcut for preview image of file attachment - defaults to file.preview.url,array,multi,
file.preview.url,Link to preview image of file attachment,string,,
file.preview.url-large,Link to a large preview image with a width of 680px,string,,
file.preview.url-small,Link to a small preview image with a width of 200px,string,,
file.preview.url-thumb,Link to a thumbnail preview image with a maximum width of 220px and a maximum height of 100px,string,,
file.url,Link to file attachment,string,,
format,Shortcut for content format - defaults to format.name,string,searchable facetable exact multi common,
format.id,Id of content format used by ReliefWeb,integer,searchable facetable,F
format.name,Link for values,string,searchable facetable exact,
headline,Shortcut for headline - defaults to headline.title,array,,
headline.featured,,string,sortable searchable facetable,
headline.image,Shortcut for headline image - defaults to headline.image.id,array,,
headline.image.id,Unique id of headline image used by ReliefWeb,integer,searchable,
headline.image.mimetype,MIME type of the headline image,string,,
headline.image.filename,File name of the headline image,string,,
headline.image.caption,Caption attached to the headline image,string,searchable,
headline.image.copyright,Copyright attached to the headline image,string,searchable,
headline.image.url,URL of the headline image,string,,
headline.summary,"Summary of body, if report is selected as headline. Typically 180-190 characters long",string,searchable,
headline.title,"Headline text, if report is selected as headline. Typically 100-120 characters long",string,sortable searchable,
id,Unique id of report used by ReliefWeb,integer,sortable searchable,
image,Image shortcut - defaults to image.id,integer,,
image.caption,Caption attached to the image,string,searchable,
image.copyright,Copyright attached to the image,string,searchable,
image.id,Unique id of image used by ReliefWeb,integer,searchable,
image.mimetype,MIME type of the image,string,,
image.filename,File name of the image,string,,
image.url,Link to the original image,string,,
image.url-large,Link to a large image with a width of 680px,string,,
image.url-small,Link to a small image with a width of 200px,string,,
