Name,Description,Type,Attributes,Abbreviation
content_type,Content types published from this source,array,sortable searchable,
country,Shortcut for country - defaults to country.name,string,searchable facetable exact multi common,
country.id,Id for country used by ReliefWeb,integer,searchable facetable,C
country.iso3,ISO 3166-1 alpha-3 code,string,searchable facetable exact,
country.name,Name of the country in English where the source headquarters is located,string,searchable facetable exact,
country.primary,Flag to indicate this is the primary country,boolean,,
country.shortname,Short name of the country in English where the source headquarters is located,string,searchable facetable exact,
date,Shortcut for date - defaults to date.created,object,,
date.changed,Date entry modified on ReliefWeb (ISO 8601),date,sortable facetable,
date.created,Date entry created on ReliefWeb (ISO 8601),date,sortable facetable,DA
description,Description of the source in Markdown format,string,searchable,
description-html,Description of the source in HTML format,string,,
disclaimer,Disclaimer information,string,searchable,
fts_id,Id number for organization used by FTS,number,sortable searchable,
homepage,URL of organization,string,searchable,
id,Unique id for source used by ReliefWeb,integer,sortable searchable,
logo,Shortcut for logo - defaults to logo.url,object,,
logo.filename,File name of the logo,string,,
logo.filesize,File size of the logo,string,,
logo.height,Height of the logo,integer,,
logo.id,Id for logo used by ReliefWeb,integer,,
logo.mimetype,MIME type of the logo,string,,
logo.url,URL of the logo,string,,
logo.width,Width of the logo,integer,,
longname,"Official name of source, where applicable",string,sortable searchable exact,
name,Name of source,string,sortable searchable exact,
shortname,"Name of the source in abbreviated format, where applicable",string,sortable searchable exact,
spanish_name,Name of the source in Spanish,string,sortable searchable exact,
status,Whether source is active or not,string,searchable facetable,
type,Shortcut for type of organization - defaults to type.name,string,searchable facetable exact multi common,
type.id,Id of organization type used by ReliefWeb,integer,searchable facetable,TY
type.name,Link for values,string,searchable facetable exact,
url,Canonical url,string,,
url_alias,Friendly' url of the source,string,searchable,
