event_type,event_id,episode_id
WF,1000000,1
WF,1000001,1
WF,1000002,1
WF,1000003,1
WF,1000004,1
WF,1000005,1
WF,1000005,2
WF,1000005,3
WF,1000005,4
WF,1000005,5
WF,1000006,1
WF,1000006,2
WF,1000006,3
WF,1000006,4
WF,1000006,5
WF,1000006,6
WF,1000006,7
WF,1000007,1
WF,1000008,1
WF,1000009,1
WF,1000010,1
WF,1000011,1
WF,1000011,2
WF,1000012,1
WF,1000013,1
WF,1000013,2
WF,1000014,1
WF,1000015,1
WF,1000016,1
WF,1000017,1
WF,1000018,1
WF,1000019,1
WF,1000019,2
WF,1000019,3
WF,1000020,1
WF,1000021,1
WF,1000022,1
WF,1000022,2
WF,1000022,3
WF,1000023,1
WF,1000023,2
WF,1000023,3
WF,1000024,1
WF,1000025,1
WF,1000026,1
WF,1000027,1
WF,1000028,1
WF,1000029,1
WF,1000030,1
WF,1000031,1
WF,1000032,1
WF,1000033,1
WF,1000034,1
WF,1000035,1
WF,1000036,1
WF,1000037,1
WF,1000038,1
WF,1000040,1
WF,1000041,1
WF,1000042,1
WF,1000043,1
WF,1000044,1
WF,1000045,1
WF,1000046,1
WF,1000047,1
WF,1000048,1
WF,1000049,1
WF,1000050,1
WF,1000051,1
WF,1000052,1
WF,1000053,1
WF,1000054,1
WF,1000055,1
WF,1000056,1
WF,1000057,1
WF,1000058,1
WF,1000059,1
WF,1000060,1
WF,1000061,1
WF,1000062,1
WF,1000063,1
WF,1000064,1
WF,1000065,1
WF,1000066,1
WF,1000067,1
WF,1000068,1
WF,1000069,1
WF,1000070,1
WF,1000071,1
WF,1000072,1
WF,1000073,1
WF,1000074,1
WF,1000075,1
WF,1000076,1
WF,1000077,1
WF,1000078,1
WF,1000079,1
WF,1000080,1
WF,1000081,1
WF,1000082,1
WF,1000083,1
WF,1000084,1
WF,1000085,1
WF,1000086,1
WF,1000087,1
WF,1000088,1
WF,1000089,1
WF,1000090,1
WF,1000091,1
WF,1000092,1
WF,1000093,1
WF,1000094,1
WF,1000095,1
WF,1000096,1
WF,1000097,1
WF,1000098,1
WF,1000099,1
WF,1000100,1
WF,1000101,1
WF,1000102,1
WF,1000103,1
WF,1000104,1
WF,1000105,1
WF,1000106,1
WF,1000107,1
WF,1000108,1
WF,1000109,1
WF,1000110,1
WF,1000111,1
WF,1000112,1
WF,1000113,1
WF,1000114,1
WF,1000115,1
WF,1000116,1
WF,1000117,1
WF,1000118,1
WF,1000119,1
WF,1000120,1
WF,1000121,1
WF,1000122,1
WF,1000123,1
WF,1000124,1
WF,1000125,1
WF,1000126,1
WF,1000127,1
WF,1000128,1
WF,1000129,1
WF,1000130,1
WF,1000131,1
WF,1000132,1
WF,1000133,1
WF,1000134,1
WF,1000135,1
WF,1000136,1
WF,1000137,1
WF,1000138,1
WF,1000139,1
WF,1000140,1
WF,1000141,1
WF,1000142,1
WF,1000143,1
WF,1000144,1
WF,1000145,1
WF,1000146,1
WF,1000147,1
WF,1000148,1
WF,1000149,1
WF,1000150,1
WF,1000151,1
WF,1000152,1
WF,1000153,1
WF,1000154,1
WF,1000155,1
WF,1000156,1
WF,1000157,1
WF,1000158,1
WF,1000159,1
WF,1000160,1
WF,1000161,1
WF,1000162,1
WF,1000162,2
WF,1000163,1
WF,1000164,1
WF,1000165,1
WF,1000166,1
WF,1000167,1
WF,1000167,2
WF,1000167,3
WF,1000167,4
WF,1000167,5
WF,1000167,6
WF,1000168,1
WF,1000169,1
WF,1000170,1
WF,1000171,1
WF,1000172,1
WF,1000172,2
WF,1000173,1
WF,1000173,2
WF,1000173,3
WF,1000173,4
WF,1000173,5
WF,1000174,1
WF,1000175,1
WF,1000175,2
WF,1000175,3
WF,1000176,1
WF,1000177,1
WF,1000178,1
WF,1000178,2
WF,1000178,3
WF,1000178,4
WF,1000179,1
WF,1000180,1
WF,1000181,1
WF,1000182,1
WF,1000183,1
WF,1000183,2
WF,1000183,3
WF,1000183,4
WF,1000183,5
WF,1000183,6
WF,1000184,1
WF,1000184,2
WF,1000184,3
WF,1000184,4
WF,1000185,1
WF,1000185,2
WF,1000185,3
WF,1000185,4
WF,1000185,5
WF,1000185,6
WF,1000185,7
WF,1000186,1
WF,1000186,2
WF,1000186,3
WF,1000186,4
WF,1000187,1
WF,1000188,1
WF,1000188,2
WF,1000188,3
WF,1000189,1
WF,1000190,1
WF,1000190,2
WF,1000190,3
WF,1000191,1
WF,1000191,2
WF,1000191,3
WF,1000191,4
WF,1000192,1
WF,1000192,2
WF,1000193,1
WF,1000193,2
WF,1000193,3
WF,1000194,1
WF,1000195,1
WF,1000195,2
WF,1000195,3
WF,1000196,1
WF,1000197,1
WF,1000197,2
WF,1000197,3
WF,1000198,1
WF,1000198,2
WF,1000198,3
WF,1000199,1
WF,1000199,2
WF,1000199,3
WF,1000199,4
WF,1000200,1
WF,1000200,2
WF,1000200,3
WF,1000201,1
WF,1000201,2
WF,1000201,3
WF,1000202,1
WF,1000202,2
WF,1000202,3
WF,1000202,4
WF,1000202,5
WF,1000203,1
WF,1000203,2
WF,1000204,1
WF,1000204,2
WF,1000204,3
WF,1000204,4
WF,1000204,5
WF,1000205,1
WF,1000205,2
WF,1000205,3
WF,1000205,4
WF,1000205,5
WF,1000205,6
WF,1000206,1
WF,1000206,2
WF,1000207,1
WF,1000208,1
WF,1000209,1
WF,1000209,2
WF,1000209,3
WF,1000210,1
WF,1000210,2
WF,1000211,1
WF,1000211,2
WF,1000211,3
WF,1000211,4
WF,1000211,5
WF,1000212,1
WF,1000212,2
WF,1000213,1
WF,1000213,2
WF,1000213,3
WF,1000213,4
WF,1000214,1
WF,1000215,1
WF,1000215,2
WF,1000216,1
WF,1000216,2
WF,1000216,3
WF,1000216,4
WF,1000217,1
WF,1000217,2
WF,1000218,1
WF,1000218,2
WF,1000218,3
WF,1000219,1
WF,1000219,2
WF,1000219,3
WF,1000220,1
WF,1000220,2
WF,1000220,3
WF,1000221,1
WF,1000221,2
WF,1000221,3
WF,1000222,1
WF,1000223,1
WF,1000223,2
WF,1000223,3
WF,1000224,1
WF,1000224,2
WF,1000225,1
WF,1000225,2
WF,1000225,3
WF,1000225,4
WF,1000225,5
WF,1000225,6
WF,1000225,7
WF,1000225,8
WF,1000226,1
WF,1000226,2
WF,1000227,1
WF,1000228,1
WF,1000229,1
WF,1000229,2
WF,1000230,1
WF,1000230,2
WF,1000230,3
WF,1000231,1
WF,1000232,1
WF,1000233,1
WF,1000234,1
WF,1000235,1
WF,1000235,2
WF,1000236,1
WF,1000236,2
WF,1000236,3
WF,1000236,4
WF,1000236,5
WF,1000236,6
WF,1000237,1
WF,1000237,2
WF,1000237,3
WF,1000237,4
WF,1000237,5
WF,1000237,6
WF,1000238,1
WF,1000238,2
WF,1000238,3
WF,1000238,4
WF,1000238,5
WF,1000238,6
WF,1000238,7
WF,1000238,8
WF,1000238,9
WF,1000238,10
WF,1000239,1
WF,1000240,1
WF,1000241,1
WF,1000241,2
WF,1000241,3
WF,1000241,4
WF,1000242,1
WF,1000243,1
WF,1000243,2
WF,1000243,3
WF,1000243,4
WF,1000244,1
WF,1000245,1
WF,1000246,1
WF,1000246,2
WF,1000246,3
WF,1000246,4
WF,1000246,5
WF,1000246,6
WF,1000246,7
WF,1000246,8
WF,1000247,1
WF,1000247,2
WF,1000248,1
WF,1000248,2
WF,1000248,3
WF,1000248,4
WF,1000248,5
WF,1000248,6
WF,1000249,1
WF,1000249,2
WF,1000249,3
WF,1000249,4
WF,1000249,5
WF,1000249,6
WF,1000250,1
WF,1000250,2
WF,1000250,3
WF,1000251,1
WF,1000251,2
WF,1000251,3
WF,1000251,4
WF,1000251,5
WF,1000251,6
WF,1000251,7
WF,1000251,8
WF,1000251,9
WF,1000251,10
WF,1000251,11
WF,1000251,12
WF,1000251,13
WF,1000251,14
WF,1000251,15
WF,1000252,1
WF,1000252,2
WF,1000252,3
WF,1000253,1
WF,1000253,2
WF,1000253,3
WF,1000253,4
WF,1000254,1
WF,1000254,2
WF,1000254,3
WF,1000255,1
WF,1000255,2
WF,1000255,3
WF,1000255,4
WF,1000255,5
WF,1000256,1
WF,1000257,1
WF,1000257,2
WF,1000258,1
WF,1000258,2
WF,1000258,3
WF,1000258,4
WF,1000258,5
WF,1000258,6
WF,1000258,7
WF,1000258,8
WF,1000259,1
WF,1000259,2
WF,1000259,3
WF,1000259,4
WF,1000259,5
WF,1000259,6
WF,1000260,1
WF,1000260,2
WF,1000260,3
WF,1000260,4
WF,1000260,5
WF,1000260,6
WF,1000261,1
WF,1000261,2
WF,1000261,3
WF,1000261,4
WF,1000261,5
WF,1000261,6
WF,1000261,7
WF,1000262,1
WF,1000262,2
WF,1000262,3
WF,1000263,1
WF,1000264,1
WF,1000264,2
WF,1000264,3
WF,1000264,4
WF,1000264,5
WF,1000264,6
WF,1000264,7
